"docname","sentence","datelabel","isodate"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target",")  (36)    Council Directive (EU) 2015/652 of 20 April 2015 laying down calculation methods and reporting requirements pursuant to Directive 98/70/EC of the European Parliament and of the Council relating to the quality of petrol and diesel fuels, OJ L 107, 25","20 april 2015","2015-04-20"
"Revision of the Directive on deployment of the alternative fuels infrastructure","(64)    Regulation (EU) 2015/757 of the European Parliament and of the Council of 29 April 2015 on the monitoring, reporting and verification of carbon dioxide emissions from maritime transport, and amending Directive 2009/16/EC (OJ L 123, 19","april 2015","2015-04-01"
"FuelEU Maritime – green European maritime space","(5)    Regulation (EU) 2015/757 of the European Parliament and of the Council of 29 April 2015 on the monitoring, reporting and verification of carbon dioxide emissions from maritime transport, and amending Directive 2009/16/EC  (OJ L 123, 19","april 2015","2015-04-01"
"FuelEU Maritime – green European maritime space","(19)    COM(2020) 563 final (20)    COM(2020) 562 final (21)    Regulation (EU) 2015/757 of the European Parliament and of the Council of 29 April 2015 on the monitoring, reporting and verification of carbon dioxide emissions from maritime transport, and amending Directive 2009/16/EC  (OJ L 123, 19","april 2015","2015-04-01"
"Proposal for a Directive on energy efficiency (recast)","🡻 2018/2002 recital 1 Moderation of energy demand is one of the five dimensions of the Energy Union Strategy established by the Commission communication of 25 February 2015 entitled ‘A Framework Strategy for a Resilient Energy Union with a Forward-Looking Climate Change Policy’","february 2015","2015-02-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","2015, p","2015","2015-01-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","2015, p","2015","2015-01-01"
"ReFuelEU Aviation – sustainable aviation fuels","Higher air fares lead to a slight reduction in total passenger air transport activity relative to the baseline, despite still growing by 77% by 2050 relative to 2015","2015","2015-01-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","2015, p","2015","2015-01-01"
"Revision of the Energy Tax Directive","As a result, the contribution of the ETD to meeting the objectives set in international agreements such as the 2015 Paris Agreement is limited","2015","2015-01-01"
"Strategic rollout plan to support rapid deployment of alternative fuels infrastructure","2015 on a standardisation request addressed to the European standardisation organisations, in accordance with Regulation (EU) No 1025/2012 of the European Parliament and of the Council, to draft European standards for alternative fuels infrastructure","2015","2015-01-01"
"Strategic rollout plan to support rapid deployment of alternative fuels infrastructure","2015","2015","2015-01-01"
"ReFuelEU Aviation – sustainable aviation fuels","Indirect job generated from air transport can be as high as three times the direct ones (European Commission, 2015)","2015","2015-01-01"
"Proposal for a Directive on energy efficiency (recast)","Subject to paragraph 9, each Member State may: (a)carry out the calculation required under point (a) of the first subparagraph of paragraph 1 using values of 1 % in 2014 and 2015","2015","2015-01-01"
"Proposal for a Directive on energy efficiency (recast)","2015, p","2015","2015-01-01"
"Revision of the Market Stability Reserve","It is an existing EU policy instrument adopted in 2015","2015","2015-01-01"
"Strategic rollout plan to support rapid deployment of alternative fuels infrastructure","In that context, and as part of the Commission’s 2015 standardisation request (Mandate 533) 54 , interoperability standards for maritime and inland navigation have been developed, notably for onshore plugs","2015","2015-01-01"
"Social Climate Fund","2015, p","2015","2015-01-01"
"Proposal for a Directive on energy efficiency (recast)","2015, p","2015","2015-01-01"
"Revision of the Market Stability Reserve","2015, p","2015","2015-01-01"
"Proposal for a Directive on energy efficiency (recast)","(ab)an assessment of the general effectiveness of this Directive and the need to adjust further the Union's energy efficiency policy in accordance with the objectives of the 2015 Paris Agreement on climate change following the 21st Conference of the Parties to the United Nations Framework Convention on Climate Change 123  and in the light of economic and innovation developments","2015","2015-01-01"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","2015, p","2015","2015-01-01"
"FuelEU Maritime – green European maritime space","2015, p","2015","2015-01-01"
"FuelEU Maritime – green European maritime space","2015, p","2015","2015-01-01"
"Revision of the Market Stability Reserve","2015, p","2015","2015-01-01"
"Carbon border adjustment mechanism","2015, p","2015","2015-01-01"
"Proposal for a Directive on energy efficiency (recast)","That complies with the Union commitments made in the framework of the Energy Union and global climate agenda established by the 2015 Paris Agreement","2015","2015-01-01"
"Proposal for a Directive on energy efficiency (recast)","This is in line with the Union commitments made in the framework of the Energy Union and global climate agenda established by the 2015 Paris Agreement on climate change following the 21st Conference of the Parties to the United Nations Framework Convention on Climate Change 52  (the ‘Paris Agreement’), committing to keep the increase of the global average temperature to well below 2 °C above pre-industrial levels and to pursuing efforts to limit the temperature increase to 1,5 °C above pre-industrial levels","2015","2015-01-01"
"Strategic rollout plan to support rapid deployment of alternative fuels infrastructure","This is the result of the work carried out by European standardisation organisations, following a Commission standardisation request in 2015 (Mandate 533) 49","2015","2015-01-01"
"Proposal for a Directive on energy efficiency (recast)","Where a Member State considers that the national level of technical competence, objectivity and reliability is insufficient, it shall ensure that, by 31 December 2014, certification and/or accreditation schemes and/or equivalent qualification schemes, including, where necessary, suitable training programmes, become or are available for providers of energy services, energy audits, energy managers and installers of energy-related building elements as defined in Article 2(9) of Directive 2010/31/EU","31 december 2014","2014-12-31"
"Proposal for a Directive on energy efficiency (recast)","The Commission shall be empowered to review, by means of delegated acts in accordance with Article 2923 of this Directive, the harmonised efficiency reference values laid down in Commission Implementing Decision 2011/877/EU 117  Commission Delegated Regulation (EU) 2015/2402 118  on the basis of Directive 2004/8/EC by 31 December 2014","31 december 2014","2014-12-31"
"Revision of the Directive on deployment of the alternative fuels infrastructure","(61)    Commission Delegated Regulation (EU) 2015/962 of 18 December 2014 supplementing Directive 2010/40/EU of the European Parliament and of the Council with regard to the provision of EU-wide real-time traffic information services (OJ L 157, 23","18 december 2014","2014-12-18"
"Proposal for a Directive on energy efficiency (recast)","By way of derogation from paragraph 1 of this Article, Member States that allow obligated parties to use the option referred to in point (b) of Article 7a(6) may, for the purpose of point (a) of the first subparagraph of paragraph 1 of this Article, count energy savings obtained in any given year after 2010 and before the obligation period referred to in point (a) of the first subparagraph of paragraph 1 of this Article as if those energy savings had instead been obtained after 31 December 2013 and before 1 January 2021, provided that all of the following circumstances apply: (a)the energy efficiency obligation scheme was in force at any point between 31 December 2009 and 31 December 2014 and was included in the Member State's first National Energy Efficiency Action Plan submitted under Article 24(2)","december 2014","2014-12-01"
"Proposal for a Directive on energy efficiency (recast)","Where final customers do not have smart meters as referred to in Directive 2009/73/EC, Member States shall ensure, by 31 December 2014, that billing information for natural gas is reliable, accurate and based on actual consumption, in accordance with point 1","december 2014","2014-12-01"
"Proposal for a Directive on energy efficiency (recast)","(95)    Commission Decision 2014/746/EU of 27 October 2014 determining, pursuant to Directive 2003/87/EC of the European Parliament and of the Council, a list of sectors and subsectors which are deemed to be exposed to a significant risk of carbon leakage, for the period 2015 to 2019 (OJ L 308, 29","october 2014","2014-10-01"
"Revision of the Energy Tax Directive","(47)    Directive 2014/94/EU of the European Parliament and of the Council of 22 October 2014 on the deployment of alternative fuels infrastructure (OJ L 307, 28","october 2014","2014-10-01"
"Proposal for a Directive on energy efficiency (recast)","(79)    Directive 2014/94/EU of the European Parliament and of the Council of 22 October 2014 on the deployment of alternative fuels infrastructure (OJ L 307, 28","october 2014","2014-10-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","(16)    Directive 2014/94/EU of the European Parliament and of the Council of 22 October 2014 on the deployment of alternative fuels infrastructure (OJ L 307, 28","october 2014","2014-10-01"
"Social Climate Fund","(60)    Directive 2014/94/EU of the European Parliament and of the Council of 22 October 2014 on the deployment of alternative fuels infrastructure (OJ L 307, 28","october 2014","2014-10-01"
"FuelEU Maritime – green European maritime space","(23)    Directive 2014/94/EU of the European Parliament and of the Council of 22 October 2014 on the deployment of alternative fuels infrastructure (OJ L 307, 28","october 2014","2014-10-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","(43)    Directive 2014/94/EU of the European Parliament and of the Council of 22 October 2014 on the deployment of alternative fuels infrastructure (OJ L 307, 28","october 2014","2014-10-01"
"Revision of the Energy Tax Directive","(12)    Regulation (EU) 2018/841 of 30 May 2018 on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry in the 2030 climate and energy framework (13)    Directive 2014/94/EU of 22 October 2014 on the deployment of alternative fuels infrastructure (14)    Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088 (OJ L 198, 22","october 2014","2014-10-01"
"Proposal for a Directive on energy efficiency (recast)","⇦ One step in that direction is the clarification provided by Eurostat on 19 September 2017 on how to record energy performance contracts in national accounts, which removes uncertainties and facilitates the use of such contracts, 🡻 2018/2002 recital 5 (adapted) (20)The European Council of 23 and 24 October 2014 supported a 27% energy efficiency target for 2030 at Union level, to be reviewed by 2020 having in mind a Union-level target of 30%","october 2014","2014-10-01"
"Proposal for a Directive on energy efficiency (recast)","By 30 June 2014, the Commission shall assess progress achieved and whether the Union is likely to achieve energy consumption of no more than 1483 Mtoe of primary energy and/or no more than 1086 Mtoe of final energy in 2020","30 june 2014","2014-06-30"
"Proposal for a Directive on energy efficiency (recast)","By 30 June 2014 the Commission shall submit the assessment referred to in Article 3(2) to the European Parliament and to the Council, accompanied, if necessary, by proposals for further measures","30 june 2014","2014-06-30"
"Social Climate Fund","(53)    Commission Regulation (EU) No 651/2014 of 17 June 2014 declaring certain categories of aid compatible with the internal market in application of Articles 107 and 108 of the Treaty Text with EEA relevance (OJ L 187, 26","17 june 2014","2014-06-17"
"Proposal for a Directive on energy efficiency (recast)","Directive 2004/8/EC is repealed from 5 June 2014, without prejudice to the obligations of the Member States relating to the time-limit for its transposition into national law","5 june 2014","2014-06-05"
"Proposal for a Directive on energy efficiency (recast)","5 June 2014, except for Article 4(1) to (4) thereof and Annexes I, III and IV thereto, without prejudice to the obligations of the Member States relating to the time-limit ⌦ time-limits ⌫ for its ⌦ the ⌫ transposition into national law ⌦ of the Directives set out in Annex XV, Part B ⌫","june 2014","2014-06-01"
"Proposal for a Directive on energy efficiency (recast)","Article 9(1) and (2) of Directive 2010/30/EU is deleted from 5 June 2014","june 2014","2014-06-01"
"Proposal for a Directive on energy efficiency (recast)","⇦ by 5 June 2014 and shall notify it without delay of any subsequent amendment affecting them","june 2014","2014-06-01"
"Proposal for a Directive on energy efficiency (recast)","⇦ 5 June 2014","june 2014","2014-06-01"
"Proposal for a Directive on energy efficiency (recast)","⇨ In order to assess the economic feasibility of increasing energy efficiency of heat and cooling supply, ⇦ Member States shall ensure that a ⇨ an installation level ⇦ cost-benefit analysis in accordance with Part 2 of Annex XIX is carried out where, after 5 June 2014 ⇨ the following installations are newly planned or substantially refurbished ⇦: (a)a new thermal electricity generation installation with a ⇨ an average annual ⇦ total thermal ⇨ energy ⇦ input exceeding 20 ⇨ 5 ⇦ MW is planned, in order to assess the cost and benefits of providing for the operation of the installation as a high-efficiency cogeneration installation","june 2014","2014-06-01"
"Revision of the Energy Tax Directive","The total or partial exemption or reduction may apply until May 2014 or until the national share of natural gas in final energy consumption reaches 25 %, whichever is the sooner","may 2014","2014-05-01"
"Proposal for a Directive on energy efficiency (recast)","(73)    Directive 2014/24/EU of the European Parliament and of the Council of 26 February 2014 on public procurement and repealing Directive 2004/18/EC (OJ L 94, 28","february 2014","2014-02-01"
"Proposal for a Directive on energy efficiency (recast)","(65)    Directive 2014/24/EU of the European Parliament and of the Council of 26 February 2014 on public procurement and repealing Directive 2004/18/EC, OJ L 94 28","february 2014","2014-02-01"
"Proposal for a Directive on energy efficiency (recast)","pdf (72)    Directive 2014/23/EU of the European Parliament and of the Council of 26 February 2014 on the award of concession contracts, OJ L 94, 28","february 2014","2014-02-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","(53)    Directive 2014/23/EU of the European Parliament and of the Council of 26 February 2014 on the award of concession contracts (OJ L 94, 28","february 2014","2014-02-01"
"Proposal for a Directive on energy efficiency (recast)","(103)    Directive 2014/24/EU of the European Parliament and of the Council of 26 February 2014 on public procurement and repealing Directive 2004/18/EC (OJ L 94, 28","february 2014","2014-02-01"
"Proposal for a Directive on energy efficiency (recast)","⇩ new (107)Member States used the 2014 and 2017 National Energy Efficiency Action Plans (NEEAPs) to report progress in removing regulatory and non-regulatory barriers to energy efficiency, as regards the split of incentives between the owners and tenants or among owners of a building or building units","2014","2014-01-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","2014, p","2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","2014, p","2014","2014-01-01"
"Effort Sharing Regulation","(2)The Union has put in place a regulatory framework to achieve the 2030 greenhouse gas emission reduction target of at least 40% as endorsed by the European Council in 2014, before the entry into force of the Paris Agreement","2014","2014-01-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","2014, p","2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","Member States shall achieve cumulative end-use energy savings at least equivalent to: (a)new savings each year from 1 January 2014 to 31 December 2020 of 1,5 % of annual energy sales to final customers by volume, averaged over the most recent three-year period prior to 1 January 2013","january 2014","2014-01-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","2014, p","2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","2014, p","2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","Without prejudice to Article 7 of Directive 2010/31/EU of the European Parliament and of the Council 108 , each Member State shall ensure that, as from 1 January 2014, ⇨ at least ⇦ 3 % of the total floor area of heated and/or cooled buildings owned and by its central government ⇨ public bodies ⇦ is renovated each year to ⇨ at least ⇦ meet at least the minimum energy performance requirements that it has set ⇨ be transformed into nearly zero-energy buildings ⇦ in application of ⌦ accordance with ⌫ Article 4 ⇨ 9 ⇦ of Directive 2010/31/EU","1 january 2014","2014-01-01"
"Social Climate Fund","2014, p","2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","2014, p","2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","2014, p","2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","2014, p","2014","2014-01-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","2014, p","2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","(g)count towards the amount of required energy savings ⇨ pursuant to point (a) and (b) of the first subparagraph of paragraph 1 ⇦, energy savings that exceed the energy savings required for the obligation period from 1 January 2014 to 31 December 2020, provided that those savings result from individual actions carried out under policy measures referred to in Articles 9a and 107b, notified by Member States in their National Energy Efficiency Action Plans and reported in their progress reports in accordance with Article 24","january 2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","Subject to paragraph 9, each Member State may: (a)carry out the calculation required under point (a) of the first subparagraph of paragraph 1 using values of 1 % in 2014 and 2015","2014","2014-01-01"
"Revision of the Energy Tax Directive","2014, p","2014","2014-01-01"
"Social Climate Fund","2014, p","2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","Energy savings achieved after 31 December 2020 shall not count towards the amount of required energy savings for the period from 1 January 2014 to 31 December 2020","january 2014","2014-01-01"
"FuelEU Maritime – green European maritime space","eu/   (11)    Communication from the Commission (2014/C 200/01) (12)    This includes national plans being developed by the Netherlands, Sweden and Italy (in the form of their ‘Guidelines for Energy and Environmental Planning Documents of the Port System Authorities (DEASP)’","2014","2014-01-01"
"FuelEU Maritime – green European maritime space","2014, p","2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","On the other hand, energy savings achieved after 31 December 2020 should not count towards the cumulative end-use energy savings required for the period from 1 January 2014 to 31 December 2020","january 2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","2014, p","2014","2014-01-01"
"Proposal for a Directive on energy efficiency (recast)","Member States opting for the alternative approach shall notify to the Commission, by 31 December 2013, the alternative measures that they plan to adopt, showing how they would achieve an equivalent improvement in the energy performance of the buildings within the central government estate","31 december 2013","2013-12-31"
"Proposal for a Directive on energy efficiency (recast)","For the purposes of ⇨ this Article ⇦ paragraph 1, by 31 December 2013, Member States shall establish and make publicly available an inventory of heated and/or cooled central government ⇨ public bodies’ ⇦ buildings with a total useful floor area over 500 m2 and, as of 9 July 2015, ⌦ of more than ⌫ over 250 m2, excluding buildings exempted on the basis of paragraph 2","31 december 2013","2013-12-31"
"Revision of the Directive on deployment of the alternative fuels infrastructure","(55)    Regulation (EU) No 1315/2013 of the European Parliament and of the Council of 11 December 2013 on Union guidelines for the development of the trans-European transport network and repealing Decision No 661/2010/EU (OJ L 348, 20","december 2013","2013-12-01"
"Proposal for a Directive on energy efficiency (recast)","Member States shall notify exemptions adopted under this paragraph to the Commission by 31 December 2013 and any subsequent changes to them thereafter","december 2013","2013-12-01"
"Proposal for a Directive on energy efficiency (recast)","By way of derogation from paragraph 1 of this Article, Member States that allow obligated parties to use the option referred to in point (b) of Article 7a(6) may, for the purpose of point (a) of the first subparagraph of paragraph 1 of this Article, count energy savings obtained in any given year after 2010 and before the obligation period referred to in point (a) of the first subparagraph of paragraph 1 of this Article as if those energy savings had instead been obtained after 31 December 2013 and before 1 January 2021, provided that all of the following circumstances apply: (a)the energy efficiency obligation scheme was in force at any point between 31 December 2009 and 31 December 2014 and was included in the Member State's first National Energy Efficiency Action Plan submitted under Article 24(2)","december 2013","2013-12-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","(32)    Directive 2013/53/EU of the European Parliament and of the Council of 20 November 2013 on recreational craft and personal watercraft and repealing Directive 94/25/EC (OJ L 354, 28","november 2013","2013-11-01"
"Carbon border adjustment mechanism","(53)    Regulation (EU) No 952/2013 of the European Parliament and of the Council of 9 October 2013 laying down the Union Customs Code (OJ L 269, 10","october 2013","2013-10-01"
"Communication: New EU Forest Strategy for 2030","This Strategy replaces the EU Forest Strategy adopted in 2013 7  and evaluated in 2018 8","2013 7","2013-07-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","(27)    2013/179/EU: Commission Recommendation of 9 April 2013 on the use of common methods to measure and communicate the life cycle environmental performance of products and organisations, OJ L 124, 4","9 april 2013","2013-04-09"
"Carbon border adjustment mechanism","(47)    Commission Recommendation 2013/179/EU of 9 April 2013 on the use of common methods to measure and communicate the life cycle environmental performance of products and organisations (OJ L 124, 4","9 april 2013","2013-04-09"
"Revision of the Energy Tax Directive","Until 1 January 2013, it may furthermore apply a reduced rate in the level of taxation of oil shale, provided that it does not result in taxation at below 50 % of the relevant Community minimum rate as from 1 January 2011","1 january 2013","2013-01-01"
"Revision of the Energy Tax Directive","The Republic of Latvia may apply a transitional period until 1 January 2011 to adjust its national level of taxation on gas oil and kerosene used as propellant to the new minimum level of EUR 302 per 1000 l and until 1 January 2013 to reach EUR 330","1 january 2013","2013-01-01"
"Revision of the Energy Tax Directive","The Republic of Lithuania may apply a transitional period until 1 January 2011 to adjust its national level of taxation on gas oil and kerosene used as propellant to the new minimum level of EUR 302 per 1000 l and until 1 January 2013 to reach EUR 330","1 january 2013","2013-01-01"
"Proposal for a Directive on energy efficiency (recast)","Those conclusions also provide that the implementation of the Union energy efficiency target will be reviewed by 2013 and further measures considered if necessary","2013","2013-01-01"
"Carbon border adjustment mechanism","2013, p","2013","2013-01-01"
"Proposal for a Directive on energy efficiency (recast)","2013, p","2013","2013-01-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","2013, p","2013","2013-01-01"
"Communication: New EU Forest Strategy for 2030","This number decreased by about 20% from 2008 to 2013 and remained quite stable since then 19","2013","2013-01-01"
"Revision of the Energy Tax Directive","🡻 2003/96/EC (adapted) ⇨ new Not later than 1 January 2012, the Council, acting unanimously after consulting the European Parliament, shall, on the basis of a report and a proposal from the Commission, decide upon the minimum levels of taxation applicable to gas oil for a further period beginning on 1 January 2013","1 january 2013","2013-01-01"
"Revision of the Directive on deployment of the alternative fuels infrastructure","2013, p","2013","2013-01-01"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","2013, p","2013","2013-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","The Commission has however gained valuable experience since 2013, when Decision 529/2013 64  came into force and required Member States to undertake surrogate accounting for land on their territories","2013","2013-01-01"
"Carbon border adjustment mechanism","2013, p","2013","2013-01-01"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","2013, p","2013","2013-01-01"
"Social Climate Fund","2013, p","2013","2013-01-01"
"Proposal for a Directive on energy efficiency (recast)","Member States shall achieve cumulative end-use energy savings at least equivalent to: (a)new savings each year from 1 January 2014 to 31 December 2020 of 1,5 % of annual energy sales to final customers by volume, averaged over the most recent three-year period prior to 1 January 2013","january 2013","2013-01-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","2013, p","2013","2013-01-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","2013, p","2013","2013-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","The Commission has however gained valuable experience since 2013, when Decision 529/2013 46  came into force and required Member States to undertake surrogate accounting for land on their territories","2013","2013-01-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","2013, p","2013","2013-01-01"
"Proposal for a Directive on energy efficiency (recast)","It also states that, to help Member States meet the Union’s greenhouse gas emission reduction commitments, the Commission should propose, by 31 December 2012, strengthened or new measures to accelerate energy efficiency improvements","31 december 2012","2012-12-31"
"Revision of the Energy Tax Directive","As part of a multiannual programme authorised by an administrative authority prior to 31 December 2012, Member States may apply the exemption or reduction under paragraph 1 after 31 December 2012 and until the end of the multiannual programme","31 december 2012","2012-12-31"
"Revision of the Energy Tax Directive","As part of a multiannual programme authorised by an administrative authority prior to 31 December 2012, Member States may apply the exemption or reduction under paragraph 1 after 31 December 2012 and until the end of the multiannual programme","december 2012","2012-12-01"
"Amendment to the Renewable Energy Directive to implement the ambition of the new 2030 climate target","Done at Brussels, For the European Parliament                For the Council The President                The President  (1)    COM/2020/824 final (2)    OJ C 326, 26/10/2012, p","26/10/2012","2012-10-26"
"Social Climate Fund","(10)    Directive 2012/27/EU of the European Parliament and of the Council of 25 October 2012 on energy efficiency, amending Directives 2009/125/EC and 2010/30/EU and repealing Directives 2004/8/EC and 2006/32/EC (OJ L 315, 14","october 2012","2012-10-01"
"ReFuelEU Aviation – sustainable aviation fuels","The present proposal for a Regulation is consistent with Regulation (EU) 2018/1139 of the European Parliament and of the Council of 4 July 2018 on common rules in the field of civil aviation and establishing a European Union Aviation Safety Agency (EASA), and in particular with Commission Regulation (EU) No 965/2012 of 5 October 2012 laying down technical requirements and administrative procedures related to air operations","october 2012","2012-10-01"
"Proposal for a Directive on energy efficiency (recast)","(53)    Directive 2012/27/EU of the European Parliament and of the Council of 25 October 2012 on energy efficiency, amending Directives 2009/125/EC and 2010/30/EU and repealing Directives 2004/8/EC and 2006/32/EC (OJ L 315, 14","october 2012","2012-10-01"
"Revision of the EU Emission Trading System for Aviation","A large volume of allowances have been allocated to aviation sector for free since 2012","2012","2012-01-01"
"Notification on the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)","2012, p","2012","2012-01-01"
"Revision of the Energy Tax Directive","The Kingdom of Belgium may apply a transitional period until 1 January 2007 to adjust its national level of taxation on gas oil used as propellant to the new minimum level of EUR 302 and until 1 January 2012 to reach EUR 330","1 january 2012","2012-01-01"
"Proposal for a Directive on energy efficiency (recast)","🡻 2012/27/EU recital 11 (adapted) Decision No 406/2009/EC of the European Parliament and of the Council of 23 April 2009 on the effort of Member States to reduce their greenhouse gas emissions to meet the Community’s greenhouse gas emission reduction commitments up to 2020 44  requires the Commission to assess and report by 2012 on the progress of the Union and its Member States towards the objective of reducing energy consumption by 20 % by 2020 compared to projections","2012","2012-01-01"
"Revision of the Energy Tax Directive","The Republic of Poland may apply a transitional period until 1 January 2012 to adjust its national level of taxation on coal and coke used for district heating to the relevant minimum level of taxation","1 january 2012","2012-01-01"
"Revision of the Energy Tax Directive","The Republic of Poland may apply a transitional period until 1 January 2012 to adjust its national level of taxation on coal and coke used for heating purposes other than district heating to the relevant minimum levels of taxation","1 january 2012","2012-01-01"
"Carbon border adjustment mechanism","2012, p","2012","2012-01-01"
"Revision of the Energy Tax Directive","2012, p","2012","2012-01-01"
"Proposal for a Directive on energy efficiency (recast)","2012, p","2012","2012-01-01"
"Revision of the Energy Tax Directive","(2012)","2012","2012-01-01"
"Proposal for a Directive on energy efficiency (recast)","2012, p","2012","2012-01-01"
"Effort Sharing Regulation","2012, p","2012","2012-01-01"
"Revision of the Energy Tax Directive","From 1 January 2010 until 1 January 2012, it may apply a differentiated rate on commercial use of gas oil used as propellant, provided that it does not result in taxation at below EUR 302 per 1000 l and that the national levels of taxation in force on 1 January 2010 are not reduced","1 january 2012","2012-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","2012, p","2012","2012-01-01"
"Revision of the Energy Tax Directive","From 1 January 2010 until 1 January 2012, it may apply a differentiated rate on commercial use of gas oil used as propellant, provided that this does not result in taxation at below EUR 302 per 1000 l and that the national levels of taxation in force on 1 January 2010 are not reduced","1 january 2012","2012-01-01"
"Revision of the Energy Tax Directive","The Portuguese Republic may apply a transitional period until 1 January 2009 to adjust its national level of taxation on gas oil used as propellant to the new minimum level of EUR 302 and until 1 January 2012 to reach EUR 330","1 january 2012","2012-01-01"
"Revision of the Energy Tax Directive","The Grand Duchy of Luxembourg may apply a transitional period until 1 January 2009 to adjust its national level of taxation on gas oil used as propellant to the new minimum level of EUR 302 and until 1 January 2012 to reach EUR 330","1 january 2012","2012-01-01"
"Revision of the Energy Tax Directive","The special reduced rate on commercial use of gas oil used as propellant may also be applied for taxis until 1 January 2012","1 january 2012","2012-01-01"
"Revision of the Energy Tax Directive","The Republic of Austria may apply a transitional period until 1 January 2007 to adjust its national level of taxation on gas oil used as propellant to the new minimum level of EUR 302 and until 1 January 2012 to reach EUR 330","1 january 2012","2012-01-01"
"Revision of the Energy Tax Directive","2012, p","2012","2012-01-01"
"Revision of the Energy Tax Directive","From 1 January 2010 until 1 January 2012, it may apply a differentiated rate on commercial use of gas oil used as propellant, provided that it does not result in taxation at below EUR 302 per 1000 l and that the national levels of taxation in force on 1 January 2010 are not reduced","1 january 2012","2012-01-01"
"Revision of the Energy Tax Directive","From 1 January 2010 until 1 January 2012, it may apply a differentiated rate on commercial use of gas oil used as propellant, provided that this does not result in taxation at below EUR 302 per 1000 l and that the national levels of taxation in force on 1 January 2010 are not reduced","1 january 2012","2012-01-01"
"Revision of the Energy Tax Directive","The differentiated rate on commercial use of gas oil used as propellant may also be applied for taxis until 1 January 2012","1 january 2012","2012-01-01"
"Revision of the Energy Tax Directive","The Kingdom of Spain may apply a transitional period until 1 January 2007 to adjust its national level of taxation on gas oil used as propellant to the new minimum level of EUR 302 and until 1 January 2012 to reach EUR 330","1 january 2012","2012-01-01"
"Social Climate Fund","2012, p","2012","2012-01-01"
"Revision of the Energy Tax Directive","The Republic of Poland may apply a transitional period until 1 January 2010 to adjust its national level of taxation on gas oil used as propellant to the new minimum level of EUR 302 per 1000 l and until 1 January 2012 to reach EUR 330","1 january 2012","2012-01-01"
"Revision of the Energy Tax Directive","The Hellenic Republic may apply a transitional period until 1 January 2010 to adjust its national level of taxation on gas oil used as propellant to the new minimum level of EUR 302 per 1000 l and until 1 January 2012 to reach EUR 330","1 january 2012","2012-01-01"
"Revision of the Energy Tax Directive","A 2012 study 19  found that administrative costs for public authorities represented between 0","2012","2012-01-01"
"Revision of the Market Stability Reserve","2012, p","2012","2012-01-01"
"Revision of the Energy Tax Directive","From 1 January 2010 until 1 January 2012, it may apply a differentiated rate on commercial use of gas oil used as propellant, provided that this does not result in taxation at below EUR 302 per 1000 l and that the national levels of taxation in force on 1 January 2010 are not reduced","1 january 2012","2012-01-01"
"Revision of the Market Stability Reserve","2012, p","2012","2012-01-01"
